location_id,date,product_id,sold_qty
10,02/06/2021,5,1042
1,14/06/2021,23,589
7,18/03/2021,4,469
4,13/05/2021,25,882
4,04/09/2021,19,1969
1,04/02/2021,28,1974
7,04/07/2021,24,1730
7,12/10/2021,6,1626
6,27/02/2021,15,1808
10,20/11/2021,28,563
8,13/12/2021,7,352
1,15/10/2021,15,1043
4,12/08/2021,27,783
1,25/07/2021,9,573
7,17/05/2021,28,1755
1,22/02/2021,17,1298
2,26/09/2021,7,593
8,09/03/2021,8,1465
1,11/12/2021,11,381
8,28/02/2021,9,2000
7,09/02/2021,29,1805
1,27/09/2021,4,1897
1,13/07/2021,12,556
5,19/02/2021,8,1146
2,12/12/2021,10,410
10,24/11/2021,7,1734
9,15/07/2021,20,748
6,25/07/2021,4,1481
10,22/02/2021,13,1067
4,21/04/2021,6,13
10,09/09/2021,30,1545
10,28/06/2021,4,377
2,21/07/2021,8,599
10,03/04/2021,1,1186
2,01/07/2021,2,1221
5,03/08/2021,1,1263
6,09/09/2021,9,301
2,14/10/2021,25,468
8,19/09/2021,6,1808
7,17/08/2021,21,1031
5,21/11/2021,14,1016
4,01/09/2021,30,876
10,16/11/2021,24,1679
1,08/07/2021,2,261
4,13/06/2021,14,965
6,15/03/2021,25,501
3,10/06/2021,30,905
8,23/07/2021,29,435
5,04/12/2021,17,1254
5,07/05/2021,18,680
8,07/04/2021,23,1539
2,07/02/2021,27,568
8,03/08/2021,20,870
10,17/08/2021,28,300
6,06/05/2021,13,1978
1,20/11/2021,23,1447
4,07/12/2021,8,698
1,03/05/2021,22,1878
2,10/03/2021,12,669
6,03/04/2021,5,930
9,15/02/2021,24,1480
5,19/09/2021,1,1842
1,26/06/2021,27,1264
1,09/05/2021,23,1894
5,14/08/2021,22,1955
6,22/01/2021,7,934
8,01/05/2021,18,323
1,23/12/2021,4,1350
3,27/04/2021,18,345
6,24/06/2021,9,243
5,02/12/2021,19,1486
8,07/02/2021,26,181
10,13/06/2021,19,463
1,30/03/2021,23,346
9,13/11/2021,30,739
4,27/09/2021,2,1377
6,04/01/2021,8,1131
6,25/07/2021,7,1336
6,31/10/2021,30,1943
6,04/11/2021,23,888
1,08/09/2021,8,1258
9,07/07/2021,2,1706
10,23/03/2021,28,969
1,26/11/2021,8,1128
3,27/07/2021,6,1275
4,22/09/2021,12,671
9,25/06/2021,30,1742
1,30/08/2021,27,1033
4,28/08/2021,3,180
6,30/08/2021,27,1617
7,10/09/2021,23,599
9,25/04/2021,6,575
5,24/01/2021,14,1869
5,20/05/2021,11,1802
7,08/03/2021,9,1723
10,01/01/2021,14,1524
5,08/11/2021,20,1291
